en_query,cs_query
Snooze 6 am alarm,Subah ke 6 baje ke alarm ko snooze kare
when is my reminder for my tee time on Friday ?,my tee time ka mera friday ke din ka reminder kab he
Please turn alarm off on weekends .,weekends par alarm off kardijiye please
set a timer,ek timer ko set karen
Show me my alarms for next Saturday,next Saturday ke liye mujhe mere alarms ko dikhayen
Iowa weather,lowa ka mausam
Cancel the reminder to buy groceries tomorrow at 2 p . m .,Kal dopahar 2 bajhe ke liye groceries kharidne ka reminder cancel kariye
Show me my upcoming alarms on Monday,Monday ke mere upcoming alarms mmujhe dikhayen
Repeat the last track .,last track ko firse chalayen
How ' s the weather this weekend ?,is weekend weather kaisa hai
Alarm set for 5 : 30 pm name ' yoga ',Yoga name se alarm set kare for 5:30 pm
I ' m looking for a cheap pizza place that delivers to Ormond Beach,Me ek cheap pizza place ko dhundh raha hu jo Ormond Beach par delivery karta he
can you show me my chats,Kya aap muje meri chats dikha saktey he
What is happening tonight in Chicago,Aaj raat Chicago me kya ho raha he
When is traffic not too heavy in Pittsburgh,Pittsburgh mein kis samay zada traffic nae hoti hai
Free things to do in Brooklyn this weekend,Brooklyn mein is weekend karne ke liye free things
How long will it take me to drive to Knoxville from my house ?,mere ghar se Knoxville drive karke jaane me kitna samay lagega
start a timer for 20 minutes and then make one for 12 minutes,20 minutes ke liye ek timer ko shuru karo uske baad ek aur 12 minutes ke liye banao
What ' s the traffic going from Nashville to Louisville,Nashville se Lousville tak traffic kaisa hai
What time will the traffic end,traffic kitne bajhe khatam hogi
discount tickets for music events in Las vegas this weekend,Las Vegas mein is weekend music events ke liye discount tickets hai
what is the weather like in Peru,Peru mein weather kaisa hai
Play rock music,rock music bajao
"Get me driving directions to Cannon Beach from Ashland , Oregon , using the coastal route .","mujhe coastal route ke raste Ashland , Oregon se Cannon Beach ke driving directions batao"
What events are in Columbus December 20th,Columbus me 20th December ko konsi events he
What time will I get to Citizen ' s Bank Park if I leave my house right now ?,agar mai mere ghar se abhi nikal jaoon to kya time par mai Citizen ' s Bank Park pahunchunga ?
"i cancelled the appointment for the doctor , so remove reminder","Mere doctor ka appointment cancel kar diya he , isliye reminder ko hata de"
should i wear a jacket today,Kya aaj mujhe jacket pahanani chahiye
Set an alarm to call the office at 9 am,9 am ko office ko call karne ke liye alarm set kare
Will it be raining on the way to school tomorrow ?,Kya kal school ke raaste me baarish ho rahi hogi ?
could i please modify my alarm tomorrow,kya mai kal apni alarm ko modify karsakta hoon please
any traffic accident on airport blvd,kya airport blvd par koi traffic accident huye hai
Set repeating alarm for every Thursday morning at 10 am,Every thursday morning at 10 am ke liye repeating alarm set kare
At what time would I arrive at the Raleigh - Durham Airport if I leave right now from my house ?,agar mai mere ghar se abhi nikalta hoon toh mai kis time par Raleigh - Durham Airport pahuch jaunga ?
Is it gonna rain tonight ?,Kya aaj raat baarish hone wali hai ?
"remind me to send out the change of venue for Shaneya "" "" "" "" s birthday party",Mujhe Shaneya ki birthday party ke liye change of venue bhejne ke liye yaad dilayen
Snooze my alarm,Mera alarm snooze kijiye
Get the time to Bibliotheca Alexandria using Abu Qir St .,Abu Qir St ka use karke Bibliotheca Alexandria tak ke liye time nikaalen
What are the prices for the Snow leopard exhibit Saturday at Natural Bridge Zoo,Saturday ko Natural Bridge Zoo mei Snow Leopard exhibit ka price kya hai
How long will it take me to drive from my house to LA if I stop at my work on the way,Agar mai raaste me mere kaam par ruk jaoon to mujhe mere ghar se LA tak drive karke jaane me kitna samay lagega
set alarm for every 20 minutes,Har 20 minutes ke liye alarm set karen
How warm is it near Sao Paulo tonight degree F,Aaj raat Sao Paulo ke paas kitna garm hai degree F me batayen
I want to pause the music,mai music ko pause karna chahta hoon
reset my timer,mere timer ko reset kare
Can you tell me what London ' s weather is like,Kya ap mujhe bata sakte hai London ka weather kaisa hai
set timer to start in 5 minutes,5 minutes mein start karne ke liye timer set kariye
skip to the next track,Agle track ko skip kardo
do i have a reminder set for 15 minutes before my next work meeting,kya mere agle work meeting se 15 minute pehle ke liye mera reminder set hai
Are there any adverse weather conditions that could affect traffic this evening,Is evening me kya koi adverse weather conditions hai jo traffic par asar karsakti hai
is it going to rain tomorrow,kya kal barish hone wali hai
How much time do I have left on my timer ?,mere timer par kitna samay bacha hai
"If I leave here at 5 am , when will I get to my house ?",agar mai yaha se 5 am ko nikal jaoon to mai mere ghar ko kab paunchunga
What will the temperature be at 11 am .,11 am ko temperature kitna hoga .
Find a song by the Local Strangers from Seattle .,Seattle se the Local strangers ke song ko find kare
Can I get to Irondequoit by 8 am with the current traffic conditions ?,kya mai current traffic conditions ke hisaaab se Irondequoit ko 8 am tak pahunch sakta hu ?
Will it rain today ?,Kya aaj baarish hogi ?
Sound alarm every 20 minutes,Har 20 minute me sound alarm ko bajaye
PLAY A RAGGAE MIX,RAGGAE MIX KO PLAY KARO
Erase all alarm ' s tomorrow,Kal ke sabhi alarms ko erase kare
Is it raining in Seattle ?,Kya Seattle me baarish horahi hai ?
set an alarm to get me up in 2 hours,Muje 2 ghante me jagane ke liye alarm set kare
Tell Mike that the takedown of the weekend carnival is starting Monday morning at 9 AM secure 5 helpers,Mike ko bolo ki weekend carnival ka takedown monday subah 9 baje se start ho raha he isiliye 5 helpers ko secure kare
Is it quicker to walk or take the bus to the Farmer ' s Market at KCC ?,Kya KCC me Farmer market ke liye walk karke jaldi ja sakenge ya fir bus leke ?
will the weather permit to travel to Texas next weekend,next weekend ko kya mausam Texas jaane ke liye ijaazat dega
Set alarm for 5 : 30 am,Subah 5:30 baje ke liye alarm set kare
Set an alarm for 7 am Satruday,Saturday subah 7 baje ke liye alarm set kare
cancel all my scheduled alarms,mere saare scheduled alarms ko cancel kardo
skip the next song,Next song ko skip kijiye
Remind me of my pilates class at 6 : 00 pm,mujhe 6 :00 pm ko meri pilates class ke baare me yaad dilaye
Should I plan on wearing rain boots,kya mujhe rain boots pehanne ke liye plan karna chahiye
how long will it take to get to Ribeir��o Preto passing through some flooded ways ?,Ribeir'o Preto ko flooded raaste se guzarne me kitna time lagega ?
Tell me about the weather through to the 25th,Mujhe 25th tak ke mausam ke baare me batayen
Remind me to play Pokemon GO,Muje Pokemon GO khelne ke liye remind karaye
Remind me to pick up Kharma on my way home from work .,mujhe yaad dilaye to pick up Kharma on my way home from work
remind me to buy items tomorrow,Muje kal items buy karne ke liye yad dilaye
How warm is it tonight around Tokyo in degrees Celsius,Aaj raat Tokyo ke paas kitna garm hoga degrees Celsius me bataye
Remind me to make my bed tomorrow morning at 7 AM .,Mujhe kal subah 7 bajhe yaad dilaye to make my bed
Text Mark I'll finish my reading by Sunday afternoon . Can we talk on Sunday night ?,Mark ko text kare ki Me sunday afternoon tak apni reading khatam kar dunga . Kya hum log sunday night ko baat kar sakte he ?
Set up a reminder for September 15 to schedule the angiogram,September 15 ke liye angiogram ko schedule karne ke liye reminder set kare
Tell me what weather to expect in New Zealand .,Mujhe batayen ki New Zealand me mausam kaisa rahega
end timer,Timer ko end kare
Cancel reminder to watch Insecure Sunday,Insecure dekhne ke liye sunday ka reminder cancel kare
What are my upcoming alarms ?,mere upcoming alarms kya hai ?
Resume first timer in 5 minutes,first timer ko 5 minute ke andar resume kariye
What is the traffic to Traverse City to Gaylord like,Traverse City se Gaylord tak ka traffic kitna hai
Set up my alarm for 3 pm later today .,Mera alarm set kare for 3 pm later today .
Change my alarm for Thursday from 2 pm to 3 pm .,Thurday ko 2 pm se 3 pm tak mere alarm ko badal do
is it going to be chilly tonight,kya aj thand hone wali hai
Remind me to make doctors appointment this Thursday .,Muje is thursday ko remind karaye to make doctors appointment .
Construction traffic on 40 W today,Aaj 40 W par Construction traffic
How ' s the traffic on Fann Street this afternoon ?,Aaj afternoon me Fann street par trafic kesa he ?
cancel my timer,mere timer ko cancel kare
would you set a reminder for the first day of every month to pay my mortgage payment,kya ap har mahine ke pehle din mujhe mere mortage payment karne ke liye ek reminder set kar sakte hai
play lauren daigle,lauren daigle ko play kijiye
Remind me to stop and get gas tomorrow at 7 am .,Muje kal subah 7 baje remind karaye to stop and get gas
snooze alarm for 10 mins,10 mins ke liye alarm ko snooze kardo
What are the traffic conditions on the way to my office,mere office ke raaste me traffic ki condition kaisi hai
what time am i to wake up,mujhe kitne bajhe utna hai
If I leave town now will I make it to Monroe by 9 ?,agar mai abhi shahar se nikalta hoon toh kya mai 9 bajhe tak Monroe pahuch jaunga
Get directions to church without passing construction .,contruction ko bina paar kiye church ke liye directions lo
Is it going to rain tonight ?,kya aj raat barish hone wali hai
Are there any accidents on the parkway this morning ?,Kya aaj subah parkway par koi accident hua he ?
Delete alarms list,alarm lists delete kare
Tell me the weather in Fort Myers later today,Muje aaj ke baad ka Fort Myers ke liye weather bataye
Please resume the timer,timer ko resume kare please
play a random song,random song play kare
Friday events,Friday ke events
set up the timer 3 seconds,timer ko 3 seconds ke liye set kariye
Road closure,road band hai
Send Danny a message and let him know I ' ll be there to pick him up in about an hour .,Danny ko message kariye aur use bataiye ki mai lagbhag ek ghante mein usey lene ke liye pahuch jaunga
what is the traffic from bradenton to tampa,bradenton se tampa tak ka traffic kitna he
Time me for 6 minutes,mujhe 6 minutes ke liye time de
Cancel the reminder to meet with the bank .,Bank se milne ke remindr ko cancel kare .
repeat the last song,last song ko phirse bajao
What is the fastest route to El Paso,El Paso ko sabse jaldi lejaane wala raasta konsa hai
Make a monthly afternoon alarm at 1pmand 1 . 15pm,monthly afternoon ke liye alarm 1pm aur 1 . 15pm ke liye banaye
Do I need my coat on Monday,Kya muje apna coat monday ko chahiye
Weather please,Weather bataye please
How far is New York from Chicago,Chicago se New York kitna door he
Remind me to get the dogs nails cut tomorrow .,Kal mujhe dogs ke nails cut karne ke liye yaad dilayen
What the weather like today,Aaj mausam kaisa hoga
shut down the alarm now,Abhi alarm ko band karo
Cancel Saturday mornings alarm .,Saturday morning ke alarm ko cancel kare .
rectify alarm to 7 pm,alarm ko 7 bajhe ke liye rectify kare
will it be humid,kya aaj humid hoga
Play Christmas music,Christmas music bajao
Send message to Corey to order more protein shakes,Aur protien shakes order karne ke liye Corey ko message bhejo
Do I need an umbrella today ?,kya mujhe aj chaata chahiye
Set alarm for 8 : 30 pm tonight,aaj raat 8:30 pm ke liye alarm ko set karen
what is the weather at 10 am,subah 10 bajhe mausam kaisa hai
Delete all the reminders about the upcoming audition dates through October,October ke liye upcoming audition dates ke barey me sabhi reminders ko delete kare
Remind me to take my medication at 8 p . m . Friday evening .,Friday shaam 8 p . m ko mujhe meri dawai lene ke liye yaad dilayen
what is the weather in miami this week,Is week miami me mausam kaisa hai
Change my dentist reminder from 3 pm tomorrow to 5 pm tomorrow .,mere dentist reminder ko kal 3pm se kal 5pm ke liye badaliye
Play the playlist School music in spotify,spotify me School music ki playlist ko bajao
Set my oven time for 10 minutes,Mera oven time 10 minutes ke liye set kare
Turn off the alarm at 8 am on Saturday,Saturday subah 8 baje alarm band kare
Dislike that Facebook Message,us Facebook Message ko dislike kariye
Message peter . The train is leaving now .,Peter ko message kare ki . The train is leaving now .
Will it be below 93 in degrees C inside this weekend,Kya is weekend andar 93 degrees C ke neeche rahega
What are my reminders for tuesday,tuesday ke liye mere reminders kya hai
please repeat last song,Please last song ko repeat kare
Display alarms set for today,aj ke set kare huye alarms ko display kariye
set an alarm for eight hours from now,Abhi se eight hours ke liye alarm set kijiye
How many inches will it snow tonight ?,aj raat kitne inches ki barf padne waali hai
find swing music,Swing music ko khoje
"Play all , but track 5","sab play kare , lekin track 5 nahi"
Get me traffic info,Mujhe traffic ki jaankari do
does my church have any events scheduled,Kya mere church ka koi event scheduled he
"Bo has a vet appointment at 2 pm on wednesday , set a reminder for 1 pm please","wednesday 2 pm ko Bo ko vet appointment hai , please 1pm ke liye reminder ko set karen"
Skip this song please,is song ko skip kare please
message Holly that I miss you .,Holly ko message kare ki I miss you
what will the weather be like for this evening,Aaj shaam ke liye weather kesa rahega
Resume timer .,timer ko resume kare
Are there any reported accidents in Putnam County today,Kya Putnam County me aaj koi accident ke reports he
Remind me to buy crayons for Evan ' s art class tomorrow,Mujhe kal evan ki art class ke liye crayons kharidne ke liye yaad dilaye
Do I have alarms set for January the 8th ?,Kya January 8th ke liye mere alarms set kiye huwe hai ?
Give me my alarms for tomorrow please,Please muje kal ke liye mere alarms dedijiye
Things to do in New York City,New York City me karne ke liye cheeze
"Mileage , by flight , between Alabama and Georgia",Alabama aur Georgia ke beech ki flight ka Mileage
Will there be snow this evening ?,kya aj shaam barf padegi
"Message tina , to meet me at the dine restaurant today .",Tina ko message kijiye ki meet me at the dine restaurant today .
like song,song ko like kare
change my alarm for Thursday at 6 pm to Thursday at 7 pm,Thursday 6 pm wale alarm ko Thursday 7 pm me badal do
Free indoor family events during Christmas break,Christmas break ke doraan free indoor family events
When is the hottest day next week ?,Agle hafte hottest day kab hai ?
Create a reminder to pick up my dry cleaning .,mere dry cleaning ko pick up karne ke liye ek reminder banaye
What is the weather forecast for China .,China ka weather forecast kya hai
How many reminders are set ?,Kitne reminders set he ?
What is the weather like in China ?,China me kesa weather he ?
resume my timer,mere timer ko resume kare
Do I have anything from Julia ?,kya mujhe Julia se kuch hai ?
Set a 12 : 00 alarm please,please 12:00 ko alarm set karen
I want to hear Kid Rock American Bad Ass,Mujhe Kid Rock American Bad Ass sunna hai
Hello bot text Fredericks to phone me now .,Hello bot Fredricks ko mujhe abhi phone karne ke liye text karo .
What ' s it like out ?,baahar kaisa hai
Please change my 7 : 00 am alarm,mere subha 7 bajhe ke alarm ko change kare please
How do I get around the slow traffic in Los Angeles ?,Mai Los Angeles me dheemi traffic ke around kaisa jaa sakta hun ?
Is it going to be cold today ?,Kya aaj thanda hone wala he ?
Create a new alarm that goes off at 5 pm each Wednesday,ek naya alarm banao jo har Wednesday 5 pm ko band hojaye
Are there any accidents on Greenwich,Greenwich par kya koi accidents huwe hai
"On the 7th of November , set a wake up alarm for 3 am .","7th November ko , 3 am ke liye ek wake up alarm lagao"
what is the temperature in celsius outside ?,baahar ka temperature celsius mein kitna hai
play we dont talk anymore,we dont talk anymore bajao
launch chats please,please chats ko launch karo
Change my reminder to exercise tomorrow at 6 am .,mere reminder ko change kariye to exercise tomorrow at 6 am
stop timer,timer ko stop kare
How much time do I have left on my timer ?,mere timer par aur kitna time bacha hai
Thailand weather,Thailand ka weather
Message Brandon and tell him I need the address to get to the Williams - Brice Stadium tomorrow morning .,Brandon ko message kariye aur boliye ki mujhe kal subha Williams Brice Stadium jane ke liye address chahiye
"If I take the car , is it going to be a hassle to go through road congestion to the pep rally ?","Agar me car leta hu , to kya road congestion ki wajah se pep rally tak jane me muje pareshani hogi ?"
what is happening at the Huntington center this weekend,is weekend Huntington center mein kya hone wala hai
"Make an alarm , please","ek alarm banao , please"
Create alarm,Alarm create karo
Modify my wake up alarm .,mere wake up alarm ko modify kare
Are there any marathons in Philadelphia this month,Kya is month me Philadelphia me koi marathons he ?
Bulgarian festival in Chicago in 2018,2018 mei Chicago mei Bulgarian festival hai
play some new country,koi new country play kare
Are there any art walks occurring this weekend in the city of Alachua,kya is weekend Alachua shahar mei koi art walks hone wale hai
I want to be reminded to watch the game tonight,mai aj raat game dekhne ke liye yaad dilana chahta hoon
What exit number is Washington street,Washington street ka exit number kya he
what ' s the forecast like this weekend,Is weekend ka forecast kaisa rahega
Play songs to dance to .,Dance karne ke liye songs play kare
Where are the Christmas lights being shown this weekend,is weekend Christmas lights kaha par dikhai ja rahi hai
Set an alarm for 2 hours from now,abhi se 2 hours tak ke liye ek alarm ko set karen
Show me all alarms,mujhe saarey alarms batao
Undo all my alarms .,mere poore alarms ko pehle jaisa kardo
next week in phoenix,phoenix mein agley haftey
set a timer for 30 seconds,30 seconds ke liye timer ko set karen
Message Debbie . Just checking in to see how you ' re coping .,Debbie ko ye message karo . Just checking in to see how you ' re coping .
what is the traffic like,traffic kaisa hai
Distance to the park on bike,park tak ka distance on bike
remind me at 7 : 00 pm to buy Melanie her birthday present,mujhe sham 7 : 00 bajhe Malanie ka birthday present kharidne ke liye yaad dilaye
Repeat last song,last song ko phir se bajao
Play me a song from Taylor Swift ' s latest album,Mere liye Taylor Swift ke latest album se ek gaana bajao
I want to know the weather in Turkey,mai Turkey ka mausam janna chahta hoon
should I leave before 6 am to beat rush hour traffic into Dallas ?,Kya muje Dallas me rush wale traffic ko beat karne ke liye subah 6 baje se pehle nikal jana chahiye ?
set an alarm for tomorrow morning at 5 am,kal subha 5 bajhe ke liye ek alarm set kariye
reset alarm,alarm ko reset karo
What time is it supposed to rain ?,kya time par rain hone wali hai ?
Is rain forecast for tonight for Ft Smith AR ?,Kya rain ka forecast Ft Smith AR ke liye aaj raat he ?
Send a happy face emoji .,ek happy face emoji bhejo
When would I need to leave if I want to get to The Grand Theater by 9 pm ?,Agar mujhe 9 pm tak The Grand Theater pahunchna hai to mujhe kab nikalna hoga
Do I need a coat today ?,Kya muje aaj coat chahiye ?
What ' s the weather in Nottinghamshire ?,Nottinghamshire me mausam kaisa hai ?
Things to do in Beverly Hills on Saturday,Saturday ko Beverly Hills me karne ke liye cheeze
send a message to Sharon asking what time she wants to meet .,Sharon ko message karo aur pucho ki wah kis time par milna chahti hai
Is it going to snow this year,kya is saal barf giregi
should i take the bus or the metro to reach sister ' s house at 6PM ?,Mujhe sham 6 bajhe tak behen ke ghar pahuchne ke liye bus lena chahiye ya fir metro
Alarm Friday 6 : 45 am please,please Friday 6:45 am ka alarm lagaye
skip to next album,Next album tak skip kare
Please play the last track,please pichla track play kariye
is traffic backed up on I 24,kya 124 par traffic hai
Will the roads be slick in the morning,Kya morning me roads slick honge
Message Harold and tell him to meet me at the Grand Hall at 9 : 00 p . m .,Harold ko message karo aur bolo ki mujhse 9:00 p . m ko Grand Hall par milen
message Kendra please get me the new BTS album .,Kendra ko message kariye ki please mujhe BTS ka new album laker de
Where is the location for my next meeting reminder ?,mere agle meeting ke reminder ka location kaha hai
i hate this song that spotify is playing,I hate this song jo spotify par chal raha he
Set a reminder for 8 a . m . tomorrow .,Kal 8 a . m ke liye ek reminder set karen
Expected weather in Vancouver British Columbia,Vancouver British Columbia me expected mausam
what shortest way to white sand new mexico,white sand new mexico jaane ka sabse chota rasta kaunsa hai
How much rain has Lubbock gotten this month,is mahine Lubbock mei kitni barish hui hai
Is there heavy traffic near Walmart,kya Walmart ke paas heavy traffic hai
Cancel all reminders for Sunday,Sunday ke saarey reminders cancel kare
Whats happening near me tonight,Aaj raat mere aas paas kya hone wala hai
Delete the workout timer .,workout timer ko delete karo
what is the average amount of sunlight for the major cities in alaska,alaska mei major cities ke average amount of sunlight kya hai
message carly that the roads are gettin slick . she might want to stay home today,carly ko message karo ki the roads are gettin slick . she might want to stay home today
Remind me of my work meeting at 1 p . m .,Muje meri work ki meeting ke liye 1 p . m ko remind karaye .
What ' s the Weather report for 5 : 00 pm ?,5:00 pm ke liye mausam ki report kya hai ?
is it going to snow today,Kya aaj snow hone wala he
Remind me to enter the data in Catalyst my 9 PM each night,Mujhe har raat 9 PM ko Catalyst me data enter karne ke liye yaad dilaayen
resume timer,timer ko resume kare
What ' s the traffic like on Long Island going to the Hamptons tonight,Aaj raat Hamptons jaate hue Long Island par traffic kaisa hoga
Will I be able to drive my convertible car this evening ?,kya mai is shaam apni convertible car chala paunga
Create a new reminder about my dogs grooming appointment on Saturday .,Saturday ko mere dogs ki grooming appointment ke baarey me ek naya reminder banaiye
remind me to pick up flour,mujhe aata pick karne ke liye yaad dilaye
message Tim I will pick him up at four p . m .,Tim ko message kare ki mai usey shaam chaar bajhe lene aaunga
Will the roads downtown be blocked off for the High school ' s parade ?,Kya high school ki parade ke liye downtown me roads ko babd kar diya jayega ?
What ' s it looking like in LA right now ?,LA me abhi kaisa dikhraha hai ?
Can you remind me to send Nina a card,kya ap mujhe Nina ko card bhejne ke liye yaad dila sakte hai
Send a message to Jim and see if he wants to meet at the park in an hour .,Jim ko message karen aur dekhen ki kya wo ek ghante me park me milna chahta hai
Play some soft rock,soft rock play kariye
pause timer for a break,break ke liye timer ko rok den
Can you set me an alarm for 4 : 30 pm tomorrow ?,Kya ap kal sham 4 : 30 ke liye mere liye alarm laga sakte hai ?
Set a weekend alarm for 10 am,10 am ke liye weekend alarm ko set kardo
adjust the alarm to 15 minutes,Alarm ko 15 minutes tak adjust kare
brief me about my alarms,Muje mere alarm ke baarey me bataye
When is my next birthday reminder ?,Mera next birthday reminder kab he ?
Should I bring an umbrella,Kya muje umbrella lana chahiye
I want to send Anthony Ford a video message .,Mai Anthony Ford ko ek video message bhejna chahta hu .
destroy the wake up alarm,wake up alarm ko destroy kare
resume timer,timer ko phir se shuru karen
Whats going on this weekend,is weekend kya chal raha hai
cancel tomorrow alarm,Kal ke alarm ko cancel kare
Can you remind me to finish and submit my paper by August 9th at 11 pm .,kya aap mujhe yaad dila sakte hai ki 9th August ko 11pm tak mai apna paper khatam karke submit kardun
Text mom and ask what date her surgery is .,Mom ko text karke pucho ki what date her surgery is .
What ' s the low temperature supposed to be today ?,Aaj ka low temperature kya hona chahiye ?
"remind me to book flight tickets for sandy , tj and tima","mujhe sandy , tj aur tima ke liye flight tickets book karne ke liye yaad dilaye"
Tell me the weather forecast for Christmas day .,Muje Christmas ke din ke liye weather ka forecast bataiye
Remove the alert for the reminder about Benny ' s vet appointment .,Benny ke vet appointment ke reminder ka alert hata dein
Can you set a reminder to start cooking dinner in 30 mins ?,Kyaa aap 30 minutes me dinner ke liye cooking start karne ka reminder set kar sakte he ?
Dancing this weekend,is weekend dancing
repeat previous Ed Sheren song,Ed Sheren ka pehle wala song repeat karen
Send a message to Cassandra Thanks for the quick reply .,Cassandra ko message send kare ki Thanks for the quick reply .
What is the temp today ?,aj ka temp kya hai
Set a weekday alarm for 7 am,7 am ke liye ek weekday alarm set karen
set my timer for 2 minutes,2 minutes ke liye mere timer ko set karen
Remind me to buy ingredients for chili tomorrow .,Muje kal chilli ke liye ingredients kharid ne ke liye yad dilaye .
remind me of upcoming credit card payment,mujhe upcoming credit card payment ke liye yaad dilayen
Are there any events happening in downtown South Bend tonight,Kya downtown South Bend me aaj raat koi event ho raha he
Will I need warm clothes tonight,Kya muje aaj raat garam kapdo ki zarurat hogi
is there a chance of thunder ?,kya thunder aane ka koi chance hai ?
do i need a raincoat today,Kya muje aaj raincoat ki zarurat hogi
Set a reminder to buy new internet after August 20th,August 20th ke baad new internet buy karne ke liye reminder set kare
Cancel alarms,alarms ko radd kardo
Is there a lot of traffic due to the parade today,Kya parade ki wajah se aaj bohot zyada traffic he
How cold is it tomorrow in San Francisco in degree Celsius,Kal San Francisco me kitni thand hone wali degree Celsius me
Hold up the 25 minute cake timer,25 minute cake timer ko hold karke rakhe
Send a message to uncle Steve,uncle Steve ko message send kare
Sleep time alarm 9 pm,9 pm ko Sleep time ka alarm set kare
set timer for 15 minutes and then delete timer,15 minutes ke liye timer ko set karen aur fir timer ko delete karden
ask bob where are his whereabouts,Bob ko pucho ki where are his whereabouts
What ' s the coldest place on earth,dunia mei sabse thandi jagah kaunsi hai
What comedians are performing near me this Saturday,Konse comedians is saturday ko meri aas paas me perform karne wale he
Start timer in 10 seconds,10 seconds me timer ko shuru kardo
Cancel my reminder to buy grocery,Mere grocery kharidne ke reminder ko cancel kare
what is my drive time to corsicana,corsicana ke liye mera drive time kitna hoga
how much time until my next reminder,Mere next reminder tak kitna time he
Cancel my reminder for picking up groceries tomorrow .,Mere kal ke groceries lene ke reminder ko cancel kare
How much time is left on my timer,Mere timer par kitna time bacha he ?
Set my alarm for 6 pm tonight,Aaj raat 6 pm ke liye mera alarm set karen ?
Is it snowing right now ?,kya abhi barf gir rahi hai
change reminder for Monday to include an alert every 5 minutes from 8 am to 12 pm,Har 5 minutes me subha 8 am se dopahar 12 pm tak alert shaamil karne ke liye monday ke liye reminder badlen
Create a wakeup alarm for 7 : 30 am,subah 7 : 30 bajhe ke liye wakeup alarm lagaye
stop the timer,Timer ko band kare
"Davis has basketball practice at 5 pm tomorrow , set a reminder to pick him up .","David ki basketball practice kal 5 pm he , toh use pick up karne ke liye reminder set kare"
"Give me the weather forecast for Australia Day , please .","mujhe Australia day ke liye weather forecast dijiye , please"
Are there any intersection on the way to your cousin ' s residence ?,kya aapke cousin ke ghar jaate samay raaste me koi intersection hai ?
Set a reminder to check to see if the new Star Wars movie is coming out tomorrow .,Reminder set kare to check to see if the new Star Wars movie is coming out tomorrow
Set up an alarm for 9 am and 5 pm tomorrow,kal 9 am aur 5 pm ke liye alarm ko set karen
How far is New York from New Jersey,New Jersey se New york kitni door hai
Play some music,thoda music bajao
Please read messages from my Meditation Group .,Mere Meditation Group me se messages read kare .
I need to drive from Barbara ' s house to Kenny ' s house later tonight - what ' s the fastest route ?,Mujhe aaj der raat Barbara ke ghar se Kenny ke ghar drive karke jaane ki zaroorat hai - sabse tez jaane ke liye konsa raasta hoga ?
create an alarm at 6 . 30 thats weekly for three weeks,6:30 baje ke liye weekly alarm three weeks ke liye create kare
set an alarm for 3 minutes,3 minutes ke liye alarm set kare
When will I arrive at Bob ' s ?,Me bob ke pass kab pohchunga ?
Were there any more reminders today regarding buying food ?,kya aaj khaana khareedne ke baare me koi aur reminders the ?
hip hip DJ near me,hip hip DJ mere near he
Cancel the reminder about the movie on August 2nd .,2nd august ka movie ke liye reminder cancel ka de .
Set up a reminder to pick up cupcakes on Saturday at 10 am,saturday subah 10 bajhe cupcakes pickup karne ke liye reminder set kare
how warm will it be tonight,Aaj raa t kitni garmi hone wali he
set a reminder to cancel the vet appointment for the cat,Reminder set kare to cancel the vet appointment for the cat
How long will it take me to get to Ahmed ' s house from here if I leave now,Agar mai abhi nikalta hu to mujhe yahan se Ahmed ke ghar jaane me kitna waqt lagega
how long does it take a car going 65 mph to stop,65 mph ki speed se chalne wali car ko rukne me kitna time lagta he
Any shows in Huntsville today,Kya aaj Huntsville me koi show he
set a reminder that Friday is payday,reminder set kare ki Friday is payday
is it going to be sunny today ?,Kya aaj ka din sunny hone wala he ?
set reminder to get mountain dew,mountain dew lene ke liye reminder set kare
"How long would it take me to drive to Austin , TX from here","yahan se mujhe Austin , TX drive karke jaane me kitna samay lagega"
Turn my alarms off now,Mere alarms ko aab band kare
What is the average annual rainfall for Bangkok,Bangkok ka average annual rainfall kya he
remind me to take my medicine every day at 5 pm,mujhe har roz sham 5 bajhe meri dawa khane ke liye yaad dilaye
How much longer,aur kitna lamba hai
Delete all reminders set up for Thursday morning .,Thursday subah ke saarey set kare huye reminders delete kar do
San Antonio concerts in January,San Antonio me January me concerts
"If Jason leaves work now and stops by my house for 10 minutes , what time will he be at my parents house ?",Agar Jason kaam se abhi nikle aur 10 minutes ke liye mere ghar pe ruke to kya time par wo mere parents ke ghar par hoga ?
play Stevie Wonder play list,Stevie Wonder ki play list ko bajao
Find music events in Montreal this weekend,Montreal me is weekend music events ko khoje
Is it going to rain for more than 4 hours today ?,kya aaj 4 hours se zyada baarish hogi ?
"What is the weather in Washington , DC ?","Washington , DC me weather kesa he ?"
Shh,Shh
Delete alarm for tomorrow at 8 : 00 am .,kal subha 8 am ke liye alarm ko hatado .
make an alarm for Monday at 10 am,Monday 10 am ke liye ek alarm banayen
update that alarm,Alarm ko update kare
When should I leave to make it to my 11 am meeting ?,Muje meri 11 am ki meeting me jane ke liye kab nikalna chahiye ?
Play music,music play karo
Play all rap music on my iTunes,mere iTunes par sabhi rap music ko play karo
I want to hear some classic rock,mujhe kuch classic rock sunna hai
Can you change my alarm for me,Kya aap mere liye mere alarm ko change kare sakte he
Tell me the weather right now,mujhe abhi weather ke bare mei boliye
Message Zoe . Party at Lily's house .,Zoe ko message kijiye ki . Party at Lily's house .
Delete today ' s reminder for the baseball game,baseball game ke liye aaj ka reminder delete kare
